T33,Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
70,Bosnia and Herzegovina,2016,Tourism expenditure (millions of US dollars),,,876,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
70,Bosnia and Herzegovina,2017,Tourism expenditure (millions of US dollars),,,985,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
70,Bosnia and Herzegovina,2018,Tourism expenditure (millions of US dollars),,,1081,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
72,Botswana,1995,Tourist/visitor arrivals (thousands),TF,,521,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
72,Botswana,2005,Tourist/visitor arrivals (thousands),TF,,1474,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
72,Botswana,2010,Tourist/visitor arrivals (thousands),TF,,1973,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
72,Botswana,2016,Tourist/visitor arrivals (thousands),TF,,1574,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
72,Botswana,2017,Tourist/visitor arrivals (thousands),TF,,1623,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
72,Botswana,1995,Tourism expenditure (millions of US dollars),,,176,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
72,Botswana,2005,Tourism expenditure (millions of US dollars),,,563,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
72,Botswana,2010,Tourism expenditure (millions of US dollars),,,440.1,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
72,Botswana,2016,Tourism expenditure (millions of US dollars),,,505,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
72,Botswana,2017,Tourism expenditure (millions of US dollars),,,541.6,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
72,Botswana,2018,Tourism expenditure (millions of US dollars),,,575.3,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,1995,Tourist/visitor arrivals (thousands),TF,,1991,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,2005,Tourist/visitor arrivals (thousands),TF,,5358,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,2010,Tourist/visitor arrivals (thousands),TF,,5161,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,2016,Tourist/visitor arrivals (thousands),TF,,6547,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,2017,Tourist/visitor arrivals (thousands),TF,,6589,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,2018,Tourist/visitor arrivals (thousands),TF,,6621,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,1995,Tourism expenditure (millions of US dollars),,,1085,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,2005,Tourism expenditure (millions of US dollars),,,4168,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,2010,Tourism expenditure (millions of US dollars),,,5522,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,2016,Tourism expenditure (millions of US dollars),,,6613,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,2017,Tourism expenditure (millions of US dollars),,,6175,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
76,Brazil,2018,Tourism expenditure (millions of US dollars),,,6324,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
92,British Virgin Islands,1995,Tourist/visitor arrivals (thousands),TF,,219,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
92,British Virgin Islands,2005,Tourist/visitor arrivals (thousands),TF,,337,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
92,British Virgin Islands,2010,Tourist/visitor arrivals (thousands),TF,,330,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
92,British Virgin Islands,2016,Tourist/visitor arrivals (thousands),TF,,408,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
92,British Virgin Islands,2017,Tourist/visitor arrivals (thousands),TF,,335,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
92,British Virgin Islands,2018,Tourist/visitor arrivals (thousands),TF,,192,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
92,British Virgin Islands,1995,Tourism expenditure (millions of US dollars),,,211,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
92,British Virgin Islands,2005,Tourism expenditure (millions of US dollars),,,412,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
92,British Virgin Islands,2010,Tourism expenditure (millions of US dollars),,,389,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
96,Brunei Darussalam,2005,Tourist/visitor arrivals (thousands),TF,,126,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
96,Brunei Darussalam,2010,Tourist/visitor arrivals (thousands),TF,,214,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
96,Brunei Darussalam,2016,Tourist/visitor arrivals (thousands),TF,,219,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
96,Brunei Darussalam,2017,Tourist/visitor arrivals (thousands),TF,,259,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
96,Brunei Darussalam,2018,Tourist/visitor arrivals (thousands),TF,,278,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
96,Brunei Darussalam,2005,Tourism expenditure (millions of US dollars),,,191,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
96,Brunei Darussalam,2016,Tourism expenditure (millions of US dollars),,,144,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
96,Brunei Darussalam,2017,Tourism expenditure (millions of US dollars),,,177,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
96,Brunei Darussalam,2018,Tourism expenditure (millions of US dollars),,,190,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,1995,Tourist/visitor arrivals (thousands),TF,,3466,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,2005,Tourist/visitor arrivals (thousands),TF,,4837,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,2010,Tourist/visitor arrivals (thousands),TF,,6047,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,2016,Tourist/visitor arrivals (thousands),TF,,8252,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,2017,Tourist/visitor arrivals (thousands),TF,,8883,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,2018,Tourist/visitor arrivals (thousands),TF,,9273,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,1995,Tourism expenditure (millions of US dollars),,,662,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,2005,Tourism expenditure (millions of US dollars),,,3063,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,2010,Tourism expenditure (millions of US dollars),,,3807,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,2016,Tourism expenditure (millions of US dollars),,,4164,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,2017,Tourism expenditure (millions of US dollars),,,4678,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
100,Bulgaria,2018,Tourism expenditure (millions of US dollars),,,5072,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
854,Burkina Faso,1995,Tourist/visitor arrivals (thousands),THS,,124,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
854,Burkina Faso,2005,Tourist/visitor arrivals (thousands),THS,,245,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
854,Burkina Faso,2010,Tourist/visitor arrivals (thousands),THS,,274,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
854,Burkina Faso,2016,Tourist/visitor arrivals (thousands),THS,,152,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
854,Burkina Faso,2017,Tourist/visitor arrivals (thousands),THS,,143,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
854,Burkina Faso,2018,Tourist/visitor arrivals (thousands),THS,,144,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
854,Burkina Faso,2005,Tourism expenditure (millions of US dollars),,,46,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
854,Burkina Faso,2010,Tourism expenditure (millions of US dollars),,,105,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
854,Burkina Faso,2016,Tourism expenditure (millions of US dollars),,,172,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
854,Burkina Faso,2017,Tourism expenditure (millions of US dollars),,,172,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
108,Burundi,1995,Tourist/visitor arrivals (thousands),TF,,34,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
108,Burundi,2005,Tourist/visitor arrivals (thousands),TF,,148,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
108,Burundi,2010,Tourist/visitor arrivals (thousands),TF,,142,Break in the time series.;Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
108,Burundi,2016,Tourist/visitor arrivals (thousands),TF,,187,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
108,Burundi,2017,Tourist/visitor arrivals (thousands),TF,,299,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
108,Burundi,1995,Tourism expenditure (millions of US dollars),,,2.425,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
108,Burundi,2005,Tourism expenditure (millions of US dollars),,,1.9,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
108,Burundi,2010,Tourism expenditure (millions of US dollars),,,2.1,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,1995,Tourist/visitor arrivals (thousands),TF,,28,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,2005,Tourist/visitor arrivals (thousands),TF,,198,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,2010,Tourist/visitor arrivals (thousands),TF,,336,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,2016,Tourist/visitor arrivals (thousands),TF,,598,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,2017,Tourist/visitor arrivals (thousands),TF,,668,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,2018,Tourist/visitor arrivals (thousands),TF,,710,Non-resident tourists staying in hotels and similar establishments.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,1995,Tourism expenditure (millions of US dollars),,,29,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,2005,Tourism expenditure (millions of US dollars),,,177,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,2010,Tourism expenditure (millions of US dollars),,,387,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,2016,Tourism expenditure (millions of US dollars),,,397,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,2017,Tourism expenditure (millions of US dollars),,,450,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
132,Cabo Verde,2018,Tourism expenditure (millions of US dollars),,,524,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,1995,Tourist/visitor arrivals (thousands),TF,,220,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,2005,Tourist/visitor arrivals (thousands),TF,,1422,Arrivals by all means of transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,2010,Tourist/visitor arrivals (thousands),TF,,2508,Arrivals by all means of transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,2016,Tourist/visitor arrivals (thousands),TF,,5012,Arrivals by all means of transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,2017,Tourist/visitor arrivals (thousands),TF,,5602,Arrivals by all means of transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,2018,Tourist/visitor arrivals (thousands),TF,,6201,Arrivals by all means of transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,1995,Tourism expenditure (millions of US dollars),,,71,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,2005,Tourism expenditure (millions of US dollars),,,929,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,2010,Tourism expenditure (millions of US dollars),,,1671,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,2016,Tourism expenditure (millions of US dollars),,,3523,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,2017,Tourism expenditure (millions of US dollars),,,4024,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
116,Cambodia,2018,Tourism expenditure (millions of US dollars),,,4832,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
120,Cameroon,2010,Tourist/visitor arrivals (thousands),VF,,573,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
120,Cameroon,2016,Tourist/visitor arrivals (thousands),VF,,994,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
120,Cameroon,2017,Tourist/visitor arrivals (thousands),VF,,1081,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
120,Cameroon,1995,Tourism expenditure (millions of US dollars),,,75,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
120,Cameroon,2005,Tourism expenditure (millions of US dollars),,,229,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
120,Cameroon,2010,Tourism expenditure (millions of US dollars),,,171,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
120,Cameroon,2016,Tourism expenditure (millions of US dollars),,,508,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
120,Cameroon,2017,Tourism expenditure (millions of US dollars),,,543,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
120,Cameroon,2018,Tourism expenditure (millions of US dollars),,,633,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
124,Canada,1995,Tourist/visitor arrivals (thousands),TF,,16932,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
124,Canada,2005,Tourist/visitor arrivals (thousands),TF,,18771,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
124,Canada,2010,Tourist/visitor arrivals (thousands),TF,,16219,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
124,Canada,2016,Tourist/visitor arrivals (thousands),TF,,19971,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
124,Canada,2017,Tourist/visitor arrivals (thousands),TF,,20883,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
124,Canada,2018,Tourist/visitor arrivals (thousands),TF,,21134,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
124,Canada,1995,Tourism expenditure (millions of US dollars),,,9176,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
124,Canada,2005,Tourism expenditure (millions of US dollars),,,15887,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
124,Canada,2010,Tourism expenditure (millions of US dollars),,,18439,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,1995,Tourist/visitor arrivals (thousands),TF,,361,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,2005,Tourist/visitor arrivals (thousands),TF,,168,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,2010,Tourist/visitor arrivals (thousands),TF,,288,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,2016,Tourist/visitor arrivals (thousands),TF,,385,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,2017,Tourist/visitor arrivals (thousands),TF,,418,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,2018,Tourist/visitor arrivals (thousands),TF,,463,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,1995,Tourism expenditure (millions of US dollars),,,394,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,2005,Tourism expenditure (millions of US dollars),,,356,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,2010,Tourism expenditure (millions of US dollars),,,465,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,2016,Tourism expenditure (millions of US dollars),,,696,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,2017,Tourism expenditure (millions of US dollars),,,782,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
136,Cayman Islands,2018,Tourism expenditure (millions of US dollars),,,880,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
140,Central African Republic,1995,Tourist/visitor arrivals (thousands),TF,,26,Arrivals by air at Bangui only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
140,Central African Republic,2005,Tourist/visitor arrivals (thousands),TF,,12,Arrivals by air at Bangui only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
140,Central African Republic,2010,Tourist/visitor arrivals (thousands),TF,,53.8,Arrivals by air at Bangui only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
140,Central African Republic,2016,Tourist/visitor arrivals (thousands),TF,,82,Arrivals by air at Bangui only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
140,Central African Republic,2017,Tourist/visitor arrivals (thousands),TF,,107,Arrivals by air at Bangui only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
140,Central African Republic,1995,Tourism expenditure (millions of US dollars),,,4,Arrivals by air at Bangui only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
140,Central African Republic,2005,Tourism expenditure (millions of US dollars),,,7.2,Arrivals by air at Bangui only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
140,Central African Republic,2010,Tourism expenditure (millions of US dollars),,,14.4,Arrivals by air at Bangui only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
148,Chad,2010,Tourist/visitor arrivals (thousands),TF,,71,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
148,Chad,2016,Tourist/visitor arrivals (thousands),TF,,98,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
148,Chad,2017,Tourist/visitor arrivals (thousands),TF,,87,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
148,Chad,1995,Tourism expenditure (millions of US dollars),,,43,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,1995,Tourist/visitor arrivals (thousands),TF,,1540,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,2005,Tourist/visitor arrivals (thousands),TF,,2027,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,2010,Tourist/visitor arrivals (thousands),TF,,2801,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,2016,Tourist/visitor arrivals (thousands),TF,,5641,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,2017,Tourist/visitor arrivals (thousands),TF,,6450,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,2018,Tourist/visitor arrivals (thousands),TF,,5723,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,1995,Tourism expenditure (millions of US dollars),,,1186,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,2005,Tourism expenditure (millions of US dollars),,,1608,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,2010,Tourism expenditure (millions of US dollars),,,2362,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,2016,Tourism expenditure (millions of US dollars),,,3744,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,2017,Tourism expenditure (millions of US dollars),,,4372,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
152,Chile,2018,Tourism expenditure (millions of US dollars),,,3972,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
156,China,1995,Tourist/visitor arrivals (thousands),TF,,20034,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
156,China,2005,Tourist/visitor arrivals (thousands),TF,,46809,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
156,China,2010,Tourist/visitor arrivals (thousands),TF,,55664,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
156,China,2016,Tourist/visitor arrivals (thousands),TF,,59270,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
156,China,2017,Tourist/visitor arrivals (thousands),TF,,60740,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
156,China,2018,Tourist/visitor arrivals (thousands),TF,,62900,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
156,China,1995,Tourism expenditure (millions of US dollars),,,8730,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Excluding passenger transport.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
156,China,2005,Tourism expenditure (millions of US dollars),,,29296,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Excluding passenger transport.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
